"Status","Address","Port","Protocol","Category","Subcat","Notes"
"FAIL","104.208.197.64","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","104.208.197.64","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.107.219.0","443","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","13.107.219.0","80","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","13.107.227.0","443","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","13.107.227.0","80","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","13.107.228.0","443","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","13.107.228.0","80","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","13.67.13.176","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.67.13.176","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.67.15.128","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.67.15.128","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.69.231.128","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.69.231.128","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.70.78.128","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.70.78.128","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.77.53.176","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.77.53.176","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.86.221.176","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.86.221.176","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.89.174.240","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.89.174.240","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.89.175.192","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","13.89.175.192","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","150.171.97.0","443","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","150.171.97.0","80","TCP","Intune Core Service","Azure Front Door Endpoints",""
"FAIL","172.201.237.160","443","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","172.201.237.160","80","TCP","Intune Core Service","Intune Client and Host Service",""
"FAIL","172.202.86.192","443","TCP","Intune Core Service","Intune Client and Host Service",""
