"Status","Address","Port","Protocol","Category","Subcat","Notes"
"WILD","*.push.apple.com","80","TCP","Apple Endpoints","Device Management",""
"WILD","*.push.apple.com","443","TCP","Apple Endpoints","Device Management",""
"WILD","*.push.apple.com","5223","TCP","Apple Endpoints","Device Management",""
"WILD","*.push.apple.com","2197","TCP","Apple Endpoints","Device Management",""
"WILD","*.appattest.apple.com","443","TCP","Apple Endpoints","Device Management",""
"WILD","*.itunes.apple.com","80","TCP","Apple Endpoints","Apps and Additional Content",""
"WILD","*.itunes.apple.com","443","TCP","Apple Endpoints","Apps and Additional Content",""
"WILD","*.apps.apple.com","443","TCP","Apple Endpoints","Apps and Additional Content",""
"WILD","*.mzstatic.com","443","TCP","Apple Endpoints","Apps and Additional Content",""
"WILD","*.appattest.apple.com","443","TCP","Apple Endpoints","Apps and Additional Content",""
"WILD","*.apps-marketplace.apple.com","443","TCP","Apple Endpoints","Apps and Additional Content",""
