"Id","Category","Subcategory","Endpoint","Protocol","Ports","Region"
"163","Intune Core Service","Intune Client and Host Service","*.manage.microsoft.com","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","manage.microsoft.com","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","*.dm.microsoft.com","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","EnterpriseEnrollment.manage.microsoft.com","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","104.46.162.96/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.67.13.176/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.67.15.128/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.69.231.128/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.69.67.224/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.70.78.128/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.70.79.128/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.74.111.192/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.77.53.176/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.86.221.176/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.89.174.240/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","13.89.175.192/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.37.153.0/24","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.37.192.128/25","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.38.81.0/24","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.41.1.0/24","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.42.1.0/24","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.42.130.0/24","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.42.224.128/25","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.43.129.0/24","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","20.44.19.224/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.119.8.128/25","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.67.121.224/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.70.151.32/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.71.14.96/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.74.25.0/24","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.78.245.240/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.78.247.128/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.79.197.64/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.79.197.96/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.80.180.208/28","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.80.180.224/27","TCP","80, 443","Global"
"163","Intune Core Service","Intune Client and Host Service","40.80.184.128/25","TCP","80, 443","Global"
